source_id,source_type,category,priority,technical_details,suggested_title
rev_001,app_store_review,Bug,Critical,"Platform: Google Play; App version: 3.0.1; Steps: Open Settings -> Reproduce after recent update","App crash issue reported"
rev_002,app_store_review,Bug,High,"Platform: App Store; App version: 2.1.3; Steps: Attempt sign-in -> Reproduce after recent update","Login issue reported"
rev_003,app_store_review,Feature Request,Medium,"Platform: Google Play; App version: 3.0.1; Feature: Dark mode","Feature request from user feedback"
rev_004,app_store_review,Praise,Low,"Platform: App Store; App version: 3.0.2; Positive sentiment","Positive feedback received"
rev_005,app_store_review,Bug,Critical,"Platform: Google Play; App version: 2.9.4; Steps: Trigger data sync","Data sync issue reported"
rev_006,app_store_review,Complaint,Medium,"Platform: App Store; App version: 3.0.2; Complaint about speed and cost","User complaint logged"
rev_007,app_store_review,Praise,Low,"Platform: Google Play; App version: 3.0.3; Positive sentiment","Positive feedback received"
rev_008,app_store_review,Spam,Low,"Platform: App Store; App version: 2.1.4; Promotional content detected","Feedback item reviewed"
email_001,support_email,Bug,Critical,"Platform: App Store; App version: Unknown; Steps: Open Settings -> Attempt sign-in -> Reproduce after recent update","App crash issue reported"
email_002,support_email,Bug,High,"Platform: Unknown; App version: Unknown; Steps: Attempt sign-in","Login issue reported"
email_003,support_email,Feature Request,Medium,"Platform: Unknown; App version: Unknown; Feature: Dark mode","Feature request from user feedback"
email_004,support_email,Bug,Critical,"Platform: Unknown; App version: Unknown; Steps: Trigger data sync","Data sync issue reported"
email_005,support_email,Feature Request,Medium,"Platform: Unknown; App version: Unknown; Feature: Offline notes","Feature request from user feedback"
email_006,support_email,Complaint,Medium,"Platform: Unknown; App version: Unknown; Complaint about support and speed","User complaint logged"
