ticket_id,source_id,source_type,category,priority,title,description,platform,app_version,rating,confidence,created_at,approval_status,review_notes,llm_used,technical_details
TKT-rev_001,rev_001,app_store_review,Bug,Critical,App crash issue reported,App crashes when I open settings after the latest update,Google Play,3.0.1,1,0.93,2026-06-10T16:25:47Z,approved,,False,Platform: Google Play; App version: 3.0.1; Steps: Open Settings -> Reproduce after recent update
TKT-rev_002,rev_002,app_store_review,Bug,Critical,Login issue reported,Can't login since update and keeps bouncing back,App Store,2.1.3,2,0.93,2026-06-10T16:25:47Z,approved,,False,Platform: App Store; App version: 2.1.3; Steps: Attempt sign-in -> Reproduce after recent update
TKT-rev_003,rev_003,app_store_review,Feature Request,Medium,Feature request from user feedback,Please add dark mode support for the app,Google Play,3.0.1,4,0.91,2026-06-10T16:25:47Z,approved,,False,"{""feature_name"": ""Feature request"", ""user_impact"": ""High"", ""demand_signal"": ""High""}"
TKT-rev_004,rev_004,app_store_review,Praise,Low,Positive feedback received,Amazing app! Love the new dashboard and it works perfectly,App Store,3.0.2,5,0.9,2026-06-10T16:25:47Z,approved,,False,
TKT-rev_005,rev_005,app_store_review,Bug,Critical,Data sync issue reported,Data sync is not working and I lost some progress,Google Play,2.9.4,2,0.93,2026-06-10T16:25:47Z,approved,,False,Platform: Google Play; App version: 2.9.4; Steps: Trigger data sync
TKT-rev_006,rev_006,app_store_review,Complaint,Medium,User complaint logged,App is slow and too expensive for the value,App Store,3.0.2,3,0.88,2026-06-10T16:25:47Z,approved,,False,
TKT-rev_007,rev_007,app_store_review,Praise,Low,Positive feedback received,Love the recent update and the clean interface,Google Play,3.0.3,5,0.9,2026-06-10T16:25:47Z,approved,,False,
TKT-rev_008,rev_008,app_store_review,Spam,Low,Feedback item reviewed,Random promotional content and unrelated text here,App Store,2.1.4,1,0.97,2026-06-10T16:25:47Z,approved,,False,
TKT-email_001,email_001,support_email,Bug,High,App crash issue reported,App Crash Report The app crashes when I tap Settings on my iPhone 14 running iOS 17.5. Steps: open app -> sign in -> tap settings.,App Crash Report,,0,0.93,2026-06-10T16:25:47Z,approved,,False,Platform: Unknown; App version: Unknown; Steps: Open Settings -> Attempt sign-in
TKT-email_002,email_002,support_email,Bug,nan,Login issue reported,Login Issue Unable to login after the update. My device is Samsung Galaxy S23 with Android 14. Please fix soon.,Login Issue,,0,0.93,2026-06-10T16:25:47Z,approved,,False,Platform: Unknown; App version: Unknown; Steps: Attempt sign-in -> Reproduce after recent update
TKT-email_003,email_003,support_email,Feature Request,nan,Feature request from user feedback,Feature Request: Dark Mode Would love to see a dark mode option in the app for evening use. It would make reading much easier.,Feature Request: Dark Mode,,0,0.91,2026-06-10T16:25:47Z,approved,,False,"{""feature_name"": ""Feature request"", ""user_impact"": ""High"", ""demand_signal"": ""High""}"
TKT-email_004,email_004,support_email,Bug,nan,Data sync issue reported,Data Loss Problem Data sync is failing and some tasks disappeared after I refreshed the app. Please investigate.,Data Loss Problem,,0,0.93,2026-06-10T16:25:47Z,approved,,False,Platform: Unknown; App version: Unknown; Steps: Trigger data sync
TKT-email_005,email_005,support_email,Feature Request,Medium,Feature request from user feedback,Suggestion for Improvement Missing functionality for offline notes would be very helpful for travel.,Suggestion for Improvement,,0,0.91,2026-06-10T16:25:47Z,approved,,False,"{""feature_name"": ""Feature request"", ""user_impact"": ""High"", ""demand_signal"": ""Medium""}"
TKT-email_006,email_006,support_email,Complaint,Low,User complaint logged,Poor Customer Service The app is slow and the support experience has been poor. I am disappointed.,Poor Customer Service,,0,0.88,2026-06-10T16:25:47Z,approved,,False,
